algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_basic_1,False,grid_5_5,3,2 21 8,100 0,8 15 1 21 2,ppa_basic_1_100_0_5,20000,True,263.69281120280067,191.7168192048012,281.6868092023006,1491,965,1491,1.5661616905843287
ppa_basic_1,False,cair,1,1563324343,100 0,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_1_100_0_78,20000,True,273.9875354878855,232.04805240262013,290.11810590529524,1850,1066,1850,1.3878609190527065
ppa_basic_1,False,cair,4,1563324343 1563324336 1563324327 cluster_1563324333_1563324337,100 0,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_basic_1_100_0_58,20000,True,85.64004878509554,80.33526695671017,88.29243969928824,753,744,753,1.2882668839572098
ppa_basic_1,False,iitb,2,667357419 2055461156,100 0,667357419 667357382 4369058864 2055461156,ppa_basic_1_100_0_2,20000,True,460.73409382765465,371.96412668234353,478.4880872567169,3573,1639,3573,1.4047340345228885
ppa_basic_1,False,iitb,3,667357419 667357382 4369058864,100 0,667357419 667357382 4369058864 2055461156,ppa_basic_1_100_0_50,20000,True,302.3781398973231,263.227597759776,310.20824832483254,2886,1239,2886,1.315923021880199
ppa_basic_1,False,cair,3,1563324343 1563324324 1563324348,100 0,1563324348 1563324324 1154147728 1563324343,ppa_basic_1_100_0_37,20000,True,172.31466575564664,99.09967753224676,193.2332338194752,1462,679,1462,2.2159879594523155
ppa_basic_1,False,iitb,4,5366445083 5882320075 -222 cluster_-172_5366445082,100 0,5882320075 cluster_-172_5366445082 5366445083 -222,ppa_basic_1_100_0_98,20000,True,290.2960891410859,118.68515648435157,324.6182756724328,2215,1016,2215,4.336355633261002
ppa_basic_1,False,iitb,3,-266 668620103 3215340463,100 0,667357412 -282 3215340463 -266 668620103 667357401,ppa_basic_1_100_0_38,20000,True,351.2890367110133,223.6054316294888,393.85023840485474,3119,1182,3119,2.320709456250984
ppa_basic_1,False,iitb,1,667357361,100 0,667357361 667357419 667357387 668685374 1990860598,ppa_basic_1_100_0_59,20000,True,483.62380255010936,518.9270715465879,474.33346860366754,2440,2440,2408,1.0407242518945643
ppa_basic_1,False,cair,1,1563324324,100 0,1563324353 1563324324 1563324336 414035791 cluster_1563324004_1563324334,ppa_basic_1_100_0_43,20000,True,217.55942635477973,133.13317661181412,250.03106087130496,1337,404,1337,2.361990186908053
