algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_basic_0,False,grid_5_5,3,2 21 8,10 3,8 15 1 21 2,ppa_basic_0_10_3_5,20000,True,172.6246895310469,155.47922207779223,176.91105639436054,846,566,846,1.179009867570467
ppa_basic_0,False,cair,4,1563324336 1563324324 cluster_1563324004_1563324334 414035791,10 3,1563324353 1563324324 1563324336 414035791 cluster_1563324004_1563324334,ppa_basic_0_10_3_33,20000,True,81.38529946158592,68.26513977096565,86.43151472720908,772,471,772,1.8612979631378608
ppa_basic_0,False,cair,1,1154147727,10 3,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_basic_0_10_3_83,20000,True,187.8777366687221,170.378806059697,196.62720197323463,730,641,730,1.218811901804476
ppa_basic_0,False,iitb,4,668620103 -266 3215340463 -282,10 3,667357412 -282 3215340463 -266 668620103 667357401,ppa_basic_0_10_3_18,20000,True,428.6489815648232,210.94157749108248,501.2181162560701,5085,1259,5085,2.847764489601322
ppa_basic_0,False,grid_5_5,4,21 1 8 15,10 3,8 15 1 21 2,ppa_basic_0_10_3_15,20000,True,135.87643435656437,123.8011698830117,138.89525047495252,927,556,927,1.2045080946334443
ppa_basic_0,False,cair,4,1563324348 1563324343 1154147728 1563324324,10 3,1563324348 1563324324 1154147728 1563324343,ppa_basic_0_10_3_48,20000,True,99.00920741259208,64.75889911008899,108.7950097847358,962,532,962,1.954914259723728
ppa_basic_0,False,grid_5_5,1,24,10 3,24 10 4 12 2 15,ppa_basic_0_10_3_26,20000,True,249.0223231161557,216.26749670816872,259.3659525081517,1106,637,1106,1.249735067357853
ppa_basic_0,False,iitb,3,-222 cluster_-172_5366445082 5882320075,10 3,5882320075 cluster_-172_5366445082 5366445083 -222,ppa_basic_0_10_3_46,20000,True,286.03784413225344,165.69315568443156,310.10678182181783,1590,953,1590,2.704788717746444
ppa_basic_0,False,grid_5_5,2,3 24,10 3,24 3 22 8,ppa_basic_0_10_3_102,20000,True,159.5796769838492,102.45686034301715,170.46021348686483,1218,539,1218,2.1330770729397623
ppa_basic_0,False,iitb,4,1990860598 667357387 667357361 667357419,10 3,667357361 667357419 667357387 668685374 1990860598,ppa_basic_0_10_3_11,20000,True,451.3177338567191,370.05779577957793,472.7019280875456,3190,1669,3190,1.5161704562038012
ppa_basic_0,False,grid_5_5,4,4 2 17 22,10 3,4 17 2 22,ppa_basic_0_10_3_4,20000,True,148.4566331683416,101.03538573071346,157.4892517278898,871,483,871,1.7918977690884663
ppa_basic_0,False,iitb,1,668685374,10 3,2055461156 668685374 3215340464 -266,ppa_basic_0_10_3_96,20000,True,403.7276726178569,266.0720144028806,431.2588042608522,2757,888,2757,1.7405738801067068
ppa_basic_0,False,grid_5_5,4,4 2 10 15,10 3,24 10 4 12 2 15,ppa_basic_0_10_3_63,20000,True,115.48504100820163,96.21355104354204,121.57077468125205,1015,587,1015,1.3656269682943265
ppa_basic_0,False,iitb,3,1990860598 3215340463 -222,10 3,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_0_10_3_52,20000,True,491.08906601650415,312.6182795698925,550.5793281653746,2921,1426,2921,1.9682587597512065
ppa_basic_0,False,iitb,3,667357382 3215340463 -266,10 3,4369058864 5366445083 3215340463 667357382 -266,ppa_basic_0_10_3_7,20000,True,338.4483775811209,144.41702914854258,389.5092587475889,3084,620,3084,3.352724291297088
ppa_basic_0,False,iitb,4,5366445083 5882320075 -222 cluster_-172_5366445082,10 3,5882320075 cluster_-172_5366445082 5366445083 -222,ppa_basic_0_10_3_98,20000,True,190.3828742125788,119.8972102789721,204.4800069993001,1064,694,1064,2.5731554316264384
ppa_basic_0,False,iitb,4,667357382 4369058864 667357419 2055461156,10 3,667357419 667357382 4369058864 2055461156,ppa_basic_0_10_3_67,20000,True,335.78969801509925,265.59879506024697,349.8278786060697,2836,1299,2836,1.480104276323164
ppa_basic_0,False,grid_5_5,3,4 2 15,10 3,24 10 4 12 2 15,ppa_basic_0_10_3_71,20000,True,159.2149649929986,132.77696372607855,167.5638074983418,1050,599,1050,1.348106939012576
ppa_basic_0,False,iitb,2,667357415 667357419,10 3,667357415 -222 -282 668620103 667357419,ppa_basic_0_10_3_20,20000,True,332.91878117545,177.79306341023974,373.74133848208425,4264,823,4264,2.592109218240006
ppa_basic_0,False,cair,4,1563324343 1154147728 1154147727 1563324357,10 3,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_0_10_3_79,20000,True,90.49695247302508,91.4191419141914,90.14226422642264,834,641,834,1.173794202424654
ppa_basic_0,False,grid_5_5,1,8,10 3,8 15 1 21 2,ppa_basic_0_10_3_53,20000,True,248.86401,198.43256,261.4718725,1348,800,1348,1.3606207017506848
ppa_basic_0,False,iitb,3,667357387 -266 -282,10 3,-266 4369058864 667357382 -282 667357387 667357409,ppa_basic_0_10_3_81,20000,True,302.0499195350544,135.84455673404042,357.4517071353923,2555,774,2555,3.38833597566561
ppa_basic_0,False,cair,1,1563324357,10 3,1563324327 1154147726 1154147727 1563324357,ppa_basic_0_10_3_97,20000,True,184.2077971149785,152.686099719944,193.21399637070272,836,519,836,1.431568454017343
ppa_basic_0,False,iitb,1,668620103,10 3,667357412 -282 3215340463 -266 668620103 667357401,ppa_basic_0_10_3_106,20000,True,595.6686308362108,310.53490466896864,690.7132062252915,5267,1239,5267,2.509069375075996
ppa_basic_0,False,iitb,2,668685374 -266,10 3,2055461156 668685374 3215340464 -266,ppa_basic_0_10_3_30,20000,True,258.2480862560664,169.84277280232152,275.9291489468155,2708,861,2708,1.7894489350160103
ppa_basic_0,False,grid_5_5,4,24 15 11 6,10 3,6 15 24 0 11 17,ppa_basic_0_10_3_94,20000,True,173.78867113288672,157.36519681365198,178.97503144422402,731,467,731,1.2149510139272868
ppa_basic_0,False,cair,2,cluster_1563324004_1563324334 1563324324,10 3,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,ppa_basic_0_10_3_3,20000,True,132.95105720874662,89.5954905393015,154.6288405434692,861,533,861,1.8982641243707483
ppa_basic_0,False,cair,3,1154147726 1563324357 1154147727,10 3,1563324327 1154147726 1154147727 1563324357,ppa_basic_0_10_3_100,20000,True,121.00224977502248,95.39007349265071,128.3200144271287,864,502,864,1.63190718784045
ppa_basic_0,False,cair,1,1563324343,10 3,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_0_10_3_78,20000,True,202.71209771552444,203.1325462731366,202.55038673182744,1178,721,1178,1.1089832200040826
ppa_basic_0,False,grid_5_5,2,6 0,10 3,6 15 24 0 11 17,ppa_basic_0_10_3_73,20000,True,208.62044506676003,191.974604524012,213.8770262907857,751,493,751,1.1722608981717453
ppa_basic_0,False,grid_5_5,2,15 12,10 3,24 10 4 12 2 15,ppa_basic_0_10_3_32,20000,True,144.4613201320132,121.6148281494816,151.6760018107074,1022,623,1022,1.3192009220092555
ppa_basic_0,False,cair,2,1154147727 cluster_1563324333_1563324337,10 3,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_basic_0_10_3_28,20000,True,144.22531095667438,126.82240887955602,152.92676199523356,729,600,729,1.306004880877633
ppa_basic_0,False,grid_5_5,4,20 23 16 15,10 3,22 20 16 15 23 3,ppa_basic_0_10_3_29,20000,True,126.18322516125804,60.99945830624865,146.76757258915575,1059,348,1059,2.9470655222831383
