algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_fhum_1,False,grid_5_5,1,17,100 0,4 17 2 22,ppa_fhum_1_100_0_57,20000,True,391.6596307969384,130.87079143528942,441.3336954372524,3716,360,3716,3.557277378997166
ppa_fhum_1,False,cair,4,1563324348 1563324343 1154147728 1563324324,100 0,1563324348 1563324324 1154147728 1563324343,ppa_fhum_1_100_0_48,20000,True,131.33283608624876,55.81981599079954,152.90798468494853,1440,315,1440,3.066611582567942
ppa_fhum_1,False,grid_5_5,2,18 5,100 0,5 1 18 13,ppa_fhum_1_100_0_6,20000,True,317.8789598959896,103.15277777777776,358.77918506136325,2462,294,2462,3.895606816296176
ppa_fhum_1,False,grid_5_5,2,3 24,100 0,24 3 22 8,ppa_fhum_1_100_0_102,20000,True,142.31258799999998,75.0669125,155.1212880952381,750,360,750,2.398724679667936
ppa_fhum_1,False,iitb,1,668620103,100 0,667357415 -222 -282 668620103 667357419,ppa_fhum_1_100_0_86,20000,True,770.3510335367888,260.9533920352211,904.403044458254,8293,697,8293,4.119524442002668
ppa_fhum_1,False,iitb,2,667357415 667357419,100 0,667357415 -222 -282 668620103 667357419,ppa_fhum_1_100_0_20,20000,True,803.0492234573464,262.2622502628812,945.3615848243112,8759,738,8759,4.354797342906734
ppa_fhum_1,False,grid_5_5,2,22 4,100 0,4 17 2 22,ppa_fhum_1_100_0_101,20000,True,270.192822,94.6078375,303.637580952381,3028,360,3028,3.4420073479549216
ppa_fhum_1,False,cair,2,1563324357 1563324327,100 0,1563324357 1563324324 1563324327 cluster_1563324010_1563324356,ppa_fhum_1_100_0_84,20000,True,188.34617201218023,88.62242448489698,216.83867130568973,1576,312,1576,2.612104601960769
ppa_fhum_1,False,cair,3,1563324343 cluster_1563324333_1563324337 1563324357,100 0,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_fhum_1_100_0_47,20000,True,223.5514388888889,134.3393,257.8638,2421,357,2421,2.0918214895476224
ppa_fhum_1,False,grid_5_5,3,24 8 22,100 0,24 3 22 8,ppa_fhum_1_100_0_27,20000,True,228.358706,109.015,251.09084047619044,946,411,946,2.621107199924378
ppa_fhum_1,False,cair,4,1563324348 cluster_1563324004_1563324334 1563324327 1563324349,100 0,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,ppa_fhum_1_100_0_10,20000,True,115.28168333333332,41.66235833333333,152.09134583333335,1033,302,1033,4.055957506307515
ppa_fhum_1,False,iitb,4,4369058864 -266 5366445083 3215340463,100 0,4369058864 5366445083 3215340463 667357382 -266,ppa_fhum_1_100_0_69,20000,True,377.8140144318901,128.36873312668732,443.45750951220674,4446,576,4446,4.223389324133201
ppa_fhum_1,False,grid_5_5,4,24 15 11 6,100 0,6 15 24 0 11 17,ppa_fhum_1_100_0_94,20000,True,171.4775762423758,185.4183581641836,167.0752240565417,963,491,963,0.938994624507044
ppa_fhum_1,False,cair,4,1563324357 cluster_1563324010_1563324356 1563324324 1563324327,100 0,1563324357 1563324324 1563324327 cluster_1563324010_1563324356,ppa_fhum_1_100_0_14,20000,True,109.79679532046796,52.46749075092491,126.17659662605166,947,235,947,2.761339198398378
ppa_fhum_1,False,grid_5_5,1,22,100 0,22 20 16 15 23 3,ppa_fhum_1_100_0_12,20000,True,401.3340330165083,123.31317325329331,489.1300939943656,2107,357,2107,4.198047694407907
ppa_fhum_1,False,cair,3,1563324343 1563324324 1563324348,100 0,1563324348 1563324324 1154147728 1563324343,ppa_fhum_1_100_0_37,20000,True,175.630075,76.5039125,203.9518357142857,1485,314,1485,2.9216094414983504
ppa_fhum_1,False,grid_5_5,4,4 2 17 22,100 0,4 17 2 22,ppa_fhum_1_100_0_4,20000,True,193.95861800000003,68.7455625,217.8087238095238,2163,337,2163,3.569109611837636
ppa_fhum_1,False,cair,4,1563324327 1563324357 1154147727 1154147726,100 0,1563324327 1154147726 1154147727 1563324357,ppa_fhum_1_100_0_41,20000,True,107.62780388627804,53.96425357464253,122.96024683245962,1520,267,1520,2.760395247042286
ppa_fhum_1,False,iitb,4,-266 667357387 4369058864 667357409,100 0,-266 4369058864 667357382 -282 667357387 667357409,ppa_fhum_1_100_0_104,20000,True,416.7246317034963,98.79661200546612,522.7006382695064,5966,879,5966,6.723883323470002
ppa_fhum_1,False,cair,3,1563324349 1563324324 1563324327,100 0,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,ppa_fhum_1_100_0_70,20000,True,136.20265473452656,48.69801353198013,179.95497533579976,1280,333,1280,4.079732870907237
ppa_fhum_1,False,iitb,3,667357419 667357382 4369058864,100 0,667357419 667357382 4369058864 2055461156,ppa_fhum_1_100_0_50,20000,True,424.7824192123728,210.69595270236488,467.5997125143743,4641,667,4641,2.3562719166999684
ppa_fhum_1,False,grid_5_5,4,4 2 10 15,100 0,24 10 4 12 2 15,ppa_fhum_1_100_0_63,20000,True,159.08073818454616,105.95783112444776,175.85639304562983,1593,519,1593,1.7356945961795185
ppa_fhum_1,False,grid_5_5,1,8,100 0,8 15 1 21 2,ppa_fhum_1_100_0_53,20000,True,340.54600500250126,192.49578789394693,377.5585592796398,2790,492,2790,2.041573478705004
ppa_fhum_1,False,grid_5_5,3,2 21 8,100 0,8 15 1 21 2,ppa_fhum_1_100_0_5,20000,True,218.34843200000003,120.57983,242.79058250000003,2174,479,2174,2.1500261322481347
ppa_fhum_1,False,cair,1,1154147728,100 0,1563324348 1563324324 1154147728 1563324343,ppa_fhum_1_100_0_95,20000,True,325.54795631547955,124.36783821617838,383.02799005813705,2429,358,2429,3.1890314817686507
ppa_fhum_1,False,iitb,1,667357401,100 0,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_fhum_1_100_0_54,20000,True,600.1800192567399,276.1079211057204,708.2040519737465,6043,739,6043,2.7918828303910543
ppa_fhum_1,False,cair,2,1154147727 cluster_1563324333_1563324337,100 0,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_fhum_1_100_0_28,20000,True,156.76786647105243,109.55799239771932,180.372803507719,1766,387,1766,1.7801683977550338
ppa_fhum_1,False,iitb,2,1990860598 667357419,100 0,667357361 667357419 667357387 668685374 1990860598,ppa_fhum_1_100_0_76,20000,True,462.7605635269806,305.99718028197185,504.0140854335619,3871,827,3871,1.8138012777027108
ppa_fhum_1,False,grid_5_5,3,4 2 15,100 0,24 10 4 12 2 15,ppa_fhum_1_100_0_71,20000,True,269.869872,173.21601666666666,300.3921421052631,1602,546,1602,1.7953560736873566
ppa_fhum_1,False,cair,2,1563324324 1563324348,100 0,1563324348 1563324324 1154147728 1563324343,ppa_fhum_1_100_0_19,20000,True,278.4898898998989,105.1018398160184,328.0293327810076,2427,323,2427,3.235774449458882
ppa_fhum_1,False,grid_5_5,4,0 2 17 12,100 0,17 2 12 0 16,ppa_fhum_1_100_0_31,20000,True,209.4382497374606,78.53734060109016,242.16347702155323,2793,371,2793,3.5150959786947094
