algo_name,coefficients,depth,done,graph,init_bots,init_locations,priority_nodes,random_string,sim_length,time_periods,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
through_modified_basic,1 10 0 0,3,False,iitb,4,668620103 -266 3215340463 -282,667357412 -282 3215340463 -266 668620103 667357401,through_modified_basic_iitb_36_d3_10,20000,257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111,True,145.8805888972243,90.98823872634824,164.178038954183,1265.0,520.0,1265.0,2.181717596217293
through_modified_basic,1 10 0 0,5,False,grid_5_5,4,21 1 8 15,8 15 1 21 2,through_modified_basic_grid_5_5_80_d5_10,20000,60.0 60.0 60.0 60.0 60.0,True,85.55547332099815,66.84723708556284,90.23253237985698,443.0,432.0,443.0,1.5974474706012889
through_modified_basic,1 10 0 0,0,False,iitb,4,-222 667357419 -282 667357415,667357415 -222 -282 668620103 667357419,through_modified_basic_iitb_68_d0_10,20000,243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273 243.85355312285273,True,165.54951524700311,104.1422497874256,181.70932194689192,1961.0,484.0,1961.0,2.171157791737301
through_modified_basic,1 10 0 0,3,False,iitb,3,-266 668620103 3215340463,667357412 -282 3215340463 -266 668620103 667357401,through_modified_basic_iitb_35_d3_10,20000,257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111 257.8755756317111,True,188.74348730388968,126.11299788259224,209.62031711098888,1617.0,674.0,1617.0,1.9984869920163224
through_modified_basic,1 10 0 0,5,False,cair,3,1563324349 1563324324 1563324327,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_59_d5_10,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,85.8985885360229,57.8378761357006,99.92894473618404,636.0,399.0,636.0,1.9185536903466431
through_modified_basic,1 10 0 0,3,False,cair,2,cluster_1563324004_1563324334 1563324324,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_58_d3_10,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,121.54030577368746,74.75390553360343,144.9335058937295,1121.0,358.0,1121.0,2.107004522242697
through_modified_basic,1 10 0 0,0,False,iitb,3,667357419 1990860598 667357361,667357361 667357419 667357387 668685374 1990860598,through_modified_basic_iitb_31_d0_10,20000,135.56853493932363 135.56853493932363 135.56853493932363 135.56853493932363 135.56853493932363,True,205.35499058380407,155.62205889705513,218.44260418558017,1585.0,767.0,1585.0,1.6032383378439858
through_modified_basic,1 10 0 0,5,False,iitb,3,667357419 667357382 4369058864,667357419 667357382 4369058864 2055461156,through_modified_basic_iitb_27_d5_10,20000,244.0719746939115 244.0719746939115 244.0719746939115 244.0719746939115,True,180.41265981563905,140.01681502225333,188.49182877431613,1264.0,663.0,1264.0,1.5941447186312667
through_modified_basic,1 10 0 0,3,False,cair,1,1563324324,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,through_modified_basic_cair_57_d3_10,20000,39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936 39.49620159287936,True,200.1821111111111,123.74321666666664,238.40155833333336,1755.0,407.0,1755.0,2.014251911513372
through_modified_basic,1 10 0 0,0,False,grid_5_5,3,2 21 8,8 15 1 21 2,through_modified_basic_grid_5_5_79_d0_10,20000,60.0 60.0 60.0 60.0 60.0,True,116.46080208020804,77.13488348834883,126.29228172817282,810.0,352.0,810.0,1.8842572161930908
